class-name,perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,NOPK_project
org.apache.cassandra.cli.CliClient,NON-SEVERE,2898,0.1,18,0.87,9,57,0.32,7,64,6,3,17,0.69,0,7,0,9,1,0,1,2,4,8,2,86,30,1,0.166667,0,0.84375,0.222222,2,61,399,1,14229,466,0,0,4,0,0,0,0,0,4,0,0,9,0,0,0,0,0,9,0,0,0,0,9,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,102,2,808,724,19045,7
org.apache.cassandra.config.CFMetaData,SEVERE,2851,0.33,18,0.65,8,30,0.32,3,154,5,1,6,0.83,0,0,0,2,2,0,0,2,4,30,3,18,18,0,1,0,0.5,0.333333,4,20,72,0,701,72,0,4,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.config.DatabaseDescriptor,SEVERE,3207,0.28,10,0.68,10,46,0.27,4,187,6,3,7,0.87,0,0,0,7,0,2,1,7,3,32,3,34,34,2,1,0,1,0.571429,7,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,0,0,0,0,7,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.cql3.statements.SelectStatement,SEVERE,1947,0.14,18,0.84,10,66,0.34,2,174,4,1,8,0.71,0,0,0,1,0,0,0,1,2,32,3,4,4,0,1,0,0,0.333333,1,20,72,0,701,72,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.cql3.statements.SelectStatementTest,SEVERE,1672,0.33,11,0.81,11,40,0.3,2,69,4,2,11,0.6,0,0,0,4,0,0,2,4,1,32,3,35,35,3,1,0,1,0.5,8,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.ColumnFamilyStore,SEVERE,2191,0.23,7,0.59,8,54,0.25,3,95,5,2,18,0.59,0,0,0,2,1,4,2,2,1,25,2,16,16,3,0,0,1,0.5,3,20,72,0,701,72,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,1,2,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.ColumnFamilyStoreTest,SEVERE,3232,0.07,9,0.56,6,39,0.29,4,176,7,2,16,0.78,0,0,0,4,1,1,3,4,3,31,3,43,43,10,1,0,1,0.5,11,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,4,0,0,0,0,4,4,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.compaction.CompactionManager,SEVERE,3055,0.37,11,0.7,10,40,0.34,10,106,5,3,13,0.6,0,0,0,4,2,0,0,4,1,0,1,26,26,0,1,0,0.333333,1,7,20,72,0,701,72,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.context.CounterContext,SEVERE,3549,0.29,18,0.76,11,36,0.33,6,115,3,3,15,0.76,0,0,0,3,0,0,1,3,1,32,3,24,24,2,1,0,1,0.666667,4,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.db.SystemKeyspace,SEVERE,1652,0.18,13,0.58,11,34,0.34,6,102,6,2,16,0.8,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,20,72,0,701,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.gms.Gossiper,SEVERE,3662,0.37,19,0.66,5,50,0.29,4,207,7,1,17,0.55,0,0,0,6,3,5,3,6,1,30,3,44,44,5,0.2,0,0.6,1,14,20,72,0,701,72,0,0,0,0,1,0,0,0,1,0,0,4,0,0,3,0,0,7,0,0,0,0,7,6,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.hadoop.pig.CqlNativeStorage,SEVERE,3178,0.24,13,0.86,9,34,0.25,10,37,3,2,18,0.55,0,0,0,1,0,5,1,1,3,32,3,35,35,3,1,0,0,0.25,5,20,72,0,701,72,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.io.sstable.SSTableReader,SEVERE,2703,0.27,8,0.62,10,39,0.33,9,146,5,1,8,0.64,0,0,0,2,0,0,1,2,1,32,3,15,15,1,1,0,1,0.5,2,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,2,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.io.sstable.SSTableRewriterTest,SEVERE,3160,0.31,10,0.55,10,50,0.28,7,143,5,1,14,0.75,0,0,0,6,3,2,5,6,7,30,3,70,70,13,0.2,0,0.9,1,30,20,72,0,701,72,0,0,3,0,4,0,3,0,4,0,3,3,0,0,3,0,0,6,0,0,0,0,6,6,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.locator.TokenMetadata,SEVERE,3467,0.11,11,0.79,7,53,0.33,10,134,7,4,15,0.86,0,0,0,5,0,5,1,5,19,32,3,83,83,6,1,0,1,0.05,21,20,72,0,701,72,0,19,0,0,0,0,0,0,19,0,0,1,4,0,0,0,0,5,0,0,0,0,5,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.metrics.ColumnFamilyMetrics,SEVERE,1570,0.25,12,0.86,6,40,0.27,5,99,4,1,14,0.6,0,0,0,3,0,0,2,3,1,32,3,20,20,2,1,0,1,0.5,3,20,72,0,701,72,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0,3,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.net.MessagingService,SEVERE,1699,0.19,18,0.65,7,57,0.3,5,99,7,1,18,0.88,0,0,0,5,1,4,3,5,1,25,2,49,49,6,0.1,0,0.75,0.5,8,40,171,0,1752,182,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,5,0,0,0,0,5,5,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.service.StorageProxy,SEVERE,2492,0.21,10,0.83,10,65,0.25,10,63,5,2,12,0.62,0,0,0,7,0,0,2,7,0,26,2,51,51,3,0,2,0,1,11,40,171,0,1752,182,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,3,0,0,3,4,7,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.service.StorageService,SEVERE,3651,0.15,20,0.69,9,38,0.33,11,130,5,2,16,0.7,0,0,0,7,0,5,2,7,4,0,1,72,72,7,0.714286,1,0.708333,0.5,11,40,171,0,1752,182,0,4,0,0,0,0,0,0,4,0,0,5,0,3,0,0,0,8,1,0,0,1,7,7,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.thrift.CassandraServer,NON-SEVERE,890,0.73,4,0.6,1,20,0.3,7,153,5,2,2,0.19,0,0,0,23,2,30,10,23,14,9,3,1288,1288,25,0.280702,0,0.87987,0.818182,287,61,399,1,14229,466,0,2,12,0,0,0,13,0,1,0,13,9,2,0,12,1,0,22,17,1,0,16,6,21,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,102,2,808,724,19045,7
org.apache.cassandra.thrift.KsDef,NON-SEVERE,816,0.73,6,0.84,4,28,0.25,9,149,6,2,1,0.18,0,4,0,4,0,0,0,0,14,0,1,95,63,0,0.333333,0,1,0,0,61,399,1,14229,466,0,12,2,0,0,5,5,5,9,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,102,2,808,724,19045,7
org.apache.cassandra.thrift.MultiSliceRequest,NON-SEVERE,2027,0.24,10,0.86,5,65,0.32,5,200,3,3,13,0.87,0,0,0,70,0,6,2,70,55,0,1,2999,2999,6,0.495021,0,0.928327,0.888889,684,61,399,1,14229,466,0,2,36,0,17,0,28,0,27,0,28,16,31,0,23,5,0,65,38,0,5,38,27,69,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,102,2,808,724,19045,7
org.apache.cassandra.thrift.SliceRange,NON-SEVERE,880,0.74,6,0.63,4,16,0.3,12,110,3,1,2,0.12,2,0,2,17,?,3,7,17,10,?,7,571,571,19,0.363636,1,0.89375,?,45,33,165,1,3052,176,0,0,10,0,0,0,0,0,10,0,0,9,4,4,0,0,2,15,0,0,0,0,17,15,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,100,5,703,613,14480,7
org.apache.cassandra.thrift.TimedOutException,NON-SEVERE,826,0.75,4,0.85,1,21,0.3,8,79,4,2,0,0.19,0,0,0,2,0,2,2,2,2,574,6,66,66,2,1,0,1,1,8,33,165,1,3052,176,1,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,100,5,703,613,14480,7
org.apache.cassandra.thrift.TokenRange,NON-SEVERE,886,0.7,3,0.75,2,31,0.3,9,68,7,2,1,0.18,0,0,3,7,?,0,5,7,1,?,6,239,239,7,0,5,1,?,27,33,165,1,3052,176,0,0,0,1,0,0,0,0,1,0,0,6,1,0,0,0,2,5,2,0,0,2,5,5,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,100,5,703,613,14480,7
org.apache.cassandra.tools.NodeProbe,SEVERE,1776,0.1,11,0.55,11,47,0.34,11,211,6,2,13,0.65,0,0,0,10,4,5,3,10,2,22,2,98,98,12,0.133333,13,0.888889,1,23,40,171,0,1752,182,0,0,0,2,0,0,0,0,2,0,0,6,0,4,0,0,0,10,0,0,0,0,10,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cassandra.utils.MerkleTree,SEVERE,2545,0.31,9,0.63,11,52,0.34,3,208,4,4,14,0.65,1,0,0,11,1,0,0,11,2,6,2,70,70,0,0.622222,0,0.7,1,19,40,171,0,1752,182,0,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,0,11,3,0,0,3,8,10,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,60,0,254,243,2453,2
org.apache.cxf.systest.type_test.AbstractTypeTestClient4,SEVERE,2203,0.2,12,0.55,5,45,0.32,10,45,5,2,11,0.83,0,0,0,7,1,1,3,7,3,25,2,65,65,7,0.952381,1,0.5,0.833333,13,40,171,0,1752,182,0,1,0,2,0,0,2,0,1,0,2,5,0,2,0,0,0,7,0,0,0,0,7,7,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.systest.ws.coverage_checker.CryptoCoverageCheckerTest,SEVERE,2472,0.34,9,0.67,8,60,0.32,8,139,7,2,9,0.61,0,1,17,11,0,0,18,10,5,0,1,244,239,18,0.345455,9,0.8,0.6,32,40,171,0,1752,182,0,5,0,0,0,0,0,0,5,0,0,11,0,1,0,0,0,12,4,0,0,4,8,10,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.systest.ws.rm.SequenceTest,SEVERE,2972,0.34,21,0.68,9,65,0.32,9,185,3,3,11,0.69,0,1,1,27,0,7,5,26,7,0,1,283,278,13,0.390769,7,0.961538,0.758621,54,40,171,0,1752,182,0,6,0,1,0,0,4,0,3,0,4,24,1,3,0,0,0,28,3,0,0,3,25,26,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.systest.ws.saml.SamlTokenTest,SEVERE,2325,0.22,20,0.6,11,54,0.33,5,56,7,3,18,0.64,0,0,0,2,1,0,0,2,2,0,1,19,19,0,1,0,0.5,1,3,40,171,0,1752,182,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,0,0,0,0,3,2,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.systest.ws.x509.X509TokenTest,SEVERE,1871,0.27,18,0.73,9,40,0.27,5,112,3,3,17,0.77,0,1,0,1,1,0,0,0,0,10,3,5,0,0,1,0,0,0,0,40,171,0,1752,182,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.tools.corba.processors.idl.IDLLexer,SEVERE,3603,0.1,15,0.59,7,54,0.32,11,82,4,2,10,0.84,0,0,0,1,1,0,0,1,0,10,2,5,5,0,1,1,0,1,1,40,171,0,1752,182,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,1,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.tools.corba.processors.idl.IDLParser,SEVERE,3353,0.37,19,0.7,11,50,0.28,2,148,3,3,13,0.88,0,1,0,1,1,0,0,0,0,10,3,5,0,0,1,0,0,0,0,40,171,0,1752,182,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,60,0,254,243,2453,2
org.apache.cxf.tools.corba.processors.wsdl.WSDLParameter,SEVERE,1878,0.22,15,0.57,10,56,0.34,11,129,4,4,9,0.57,0,0,0,4,0,0,1,4,0,15,4,18,18,4,1,0,0,1,4,8,100,1,2639,109,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,TRUE,FALSE,FALSE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaBinding,SEVERE,3630,0.34,10,0.74,8,60,0.33,5,185,7,2,17,0.76,0,0,0,6,1,0,0,6,3,14,3,50,50,0,1,1,0.6,1,13,8,100,1,2639,109,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,6,1,0,5,TRUE,FALSE,FALSE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.wsdl.WSDLToCorbaHelper,SEVERE,1656,0.36,10,0.75,11,63,0.33,4,185,7,2,17,0.59,1,0,2,29,0,106,25,29,4,0,1,1371,1371,51,1,0,0.723214,1,328,8,100,1,2639,109,0,0,1,0,3,0,0,0,4,0,0,4,25,0,0,0,0,29,6,0,0,6,23,27,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.wsdl.WSDLToIDLAction,SEVERE,2293,0.12,10,0.72,9,41,0.29,10,212,5,2,17,0.66,0,0,0,10,0,96,1,10,3,0,1,243,243,1,1,0,0.481481,1,47,8,100,1,2639,109,0,0,0,0,3,0,0,0,3,0,0,2,8,0,0,0,0,10,0,0,0,0,10,9,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.WSDLToCorbaBindingTest,SEVERE,3229,0.08,15,0.67,5,59,0.32,6,39,7,1,15,0.6,0,0,0,2,0,0,1,2,1,0,2,14,14,1,1,0,1,0.666667,2,8,100,1,2639,109,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,TRUE,FALSE,TRUE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.WSDLToCorbaBindingTypeTest,SEVERE,3568,0.19,9,0.69,6,37,0.34,7,155,4,2,13,0.55,0,0,2,2,0,0,1,2,8,0,2,76,76,1,1,0,1,0.2,2,32,46,0,1690,48,0,8,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,TRUE,FALSE,TRUE,FALSE,FALSE,48,1,245,233,6694,4
org.apache.cxf.tools.corba.processors.WSDLToIDLGenerationTest,SEVERE,2348,0.06,16,0.75,11,33,0.26,3,94,6,2,12,0.77,0,0,0,2,0,0,0,2,0,11,2,15,15,0,0,0,0,1,2,2,5,0,44,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,58,2,541,326,7842,11
org.apache.cxf.tools.java2wsdl.processor.JavaToProcessorTest,SEVERE,3623,0.33,13,0.56,11,64,0.33,2,151,7,1,17,0.56,0,0,0,3,0,0,2,3,0,7,2,29,29,2,0,0,0,1,4,2,5,0,44,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,58,2,541,326,7842,11
org.apache.cxf.tools.wadlto.jaxrs.JAXRSContainerTest,SEVERE,3698,0.19,13,0.65,5,38,0.34,5,127,4,3,8,0.79,0,39,0,40,0,15,3,1,20,0,1,330,330,3,0.087179,0,0.971795,0.025,1,5,27,0,1293,138,0,0,20,0,0,0,1,0,19,0,1,41,0,0,0,0,0,41,0,0,0,0,41,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,58,2,541,326,7842,11
org.apache.cxf.tools.wadlto.jaxrs.SourceGenerator,SEVERE,2314,0.34,17,0.59,5,63,0.29,5,94,4,4,9,0.83,0,18,0,25,1,5,4,7,9,10,2,199,37,3,0.243333,0,0.898148,0.28,7,5,27,0,1293,138,0,0,9,0,0,0,0,0,9,0,0,26,0,0,0,0,0,26,0,0,0,0,26,7,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,58,2,541,326,7842,11
org.apache.cxf.tools.wsdlto.databinding.jaxb.JAXBDataBinding,SEVERE,2548,0.29,11,0.79,7,60,0.32,9,91,4,3,12,0.87,0,0,0,3,0,1,2,3,0,72,5,88,88,3,1,0,0,1,10,3,28,0,619,34,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,2,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.frontend.jaxws.customization.CustomizationParser,SEVERE,2659,0.36,18,0.83,10,31,0.32,9,172,3,3,12,0.73,1,6,0,30,0,0,1,24,11,0,1,518,390,1,0.261084,0,0.937304,0.8,42,3,28,0,619,34,0,0,0,11,0,5,5,5,6,0,0,30,0,0,0,0,0,30,0,0,0,0,30,23,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ParameterProcessor,SEVERE,2269,0.36,20,0.59,9,61,0.29,8,132,3,4,17,0.62,2,9,3,47,0,19,11,38,48,0,1,1342,1264,30,0.49359,0,0.949275,0.709677,213,40,277,5,7963,322,0,1,13,34,0,24,19,19,24,5,0,31,7,9,1,7,0,41,2,2,5,0,41,38,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal.ServiceProcessor,SEVERE,2059,0.36,16,0.61,11,48,0.34,7,176,7,4,18,0.76,3,9,6,50,0,0,10,41,96,0,1,3600,3405,26,0.272895,0,0.980867,0.395349,256,40,277,5,7963,322,0,19,15,62,0,55,47,47,41,8,0,25,3,21,2,5,0,46,7,2,3,5,41,41,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest,SEVERE,3158,0.38,14,0.66,8,44,0.27,4,133,7,4,12,0.84,1,0,0,18,0,61,9,18,2,0,1,1097,1097,36,0.269231,0,0.882353,1,286,40,277,5,7963,322,0,0,2,0,0,2,0,0,0,2,0,2,5,12,0,0,0,19,0,0,0,0,19,18,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.jaxws.CodeGenTest,SEVERE,3057,0.2,8,0.73,8,40,0.27,2,186,6,3,18,0.71,2,7,0,11,1,0,0,4,6,0,1,112,64,0,0.361111,0,0.8,0.3,4,40,277,5,7963,322,1,0,0,6,0,0,0,0,6,0,0,10,0,0,1,0,0,11,0,0,0,0,11,2,0,2,FALSE,FALSE,TRUE,FALSE,FALSE,56,5,502,445,10835,4
org.apache.cxf.tools.wsdlto.WSDLToJavaContainer,SEVERE,3535,0.27,7,0.82,11,37,0.3,4,193,6,2,17,0.61,0,0,10,4,0,0,10,4,0,0,1,196,196,11,0,0,0,1,8,30,106,4,993,111,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,0,0,4,0,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,91,9,585,567,8432,3
org.apache.jena.graph.test.AbstractTestGraph,MEDIUM,3023,0.29,10,0.58,9,43,0.27,5,180,7,1,13,0.84,1,36,4,89,0,3,5,53,97,520,5,2078,1633,4,0.115126,0,0.959583,0.292929,88,50,400,1,12877,545,0,34,59,2,2,34,34,34,63,0,0,65,3,21,0,0,0,89,0,0,0,0,89,52,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,426,16,1879,1530,33431,22
org.apache.jena.graph.test.TestNode,MEDIUM,2636,0.05,8,0.84,10,39,0.25,11,38,3,2,6,0.63,0,2,3,25,3,0,3,23,7,13,2,596,576,3,0.181159,0,0.970238,0.454545,64,50,400,1,12877,545,0,4,0,2,1,4,4,4,3,0,0,7,0,18,0,0,0,25,0,0,0,0,25,22,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,426,16,1879,1530,33431,22
